environment_count: 3
representation_constraint: classification
decomposition_type: complementary_gate
variant_fusion_mode: off
variant_fusion_gate_type: token
variant_fusion_gate_last_dim: 1
fusion_scale_calibration: none
predictive_env_refactor_mode: current
lambda_invpred: 1.0
lambda_future_var: 0.0
lambda_var_predictive: 0.0
lambda_var_utility: 0.0
lambda_var_gain: 0.0
var_gain_temperature: 0.01
lambda_var_conditional_gain: 0.0
var_conditional_margin: 0.0
MSE: 0.35475558042526245
full_MSE: 0.35475558042526245
MAE: 0.34691324830055237
inv_only_MSE: 0.35475558042526245
inv_only_MAE: 0.34691324830055237
inv_only_minus_full_MSE: 0.0
inv_MSE: 0.35475558042526245
inv_minus_full: 0.0
var_predictive_loss: 0.38536331057548523
conditional_var_MSE: 0.38536331057548523
conditional_pair_MSE: 0.38536331057548523
conditional_shuffle_MSE: 0.38536331057548523
conditional_gain_mean: 0.0
conditional_gain_median: 0.0
conditional_positive_ratio: 0.0
conditional_gain_p10: 0.0
conditional_gain_p50: 0.0
conditional_gain_p90: 0.0
corr_conditional_gain_main_gain: nan
corr_conditional_gain_main_gain_type: Spearman
mean_gain: 0.0
median_gain: 0.0
positive_gain_ratio: 0.0
gain_p10: 0.0
gain_p50: 0.0
gain_p90: 0.0
corr_reliability_gain: nan
corr_reliability_gain_type: Spearman
g_z_mean: 0.0
mask_mean: 0.0
mask_std: 0.0
g_z_p10: 0.0
g_z_p50: 0.0
g_z_p90: 0.0
feature_variation_to_Zinv: 0.0
DeltaZ/Zinv: 0.0
var_gain_loss: 0.006931473035365343
fusion_rms_ratio_mean: 1.0
fusion_rms_ratio_p10: 1.0
fusion_rms_ratio_p50: 1.0
fusion_rms_ratio_p90: 1.0
mapping_variation: removed
gate/mean: nan
gate/std: nan
gate/positive_ratio: nan
gate/negative_ratio: nan
gate/abs_mean: nan
gate/near_zero_ratio: nan
reconstruction_error: 0.0
inv_energy_ratio: 1.0
var_energy_ratio: 0.0
g_mean: 0.0
g_p10: 0.0
g_p50: 0.0
g_p90: 0.0
gate_pos: nan
gate_neg: nan
gate_abs: nan
inv_energy: 1.0
var_energy: 0.0
future_var_loss: 1.0
future_var_cosine: 0.0
future_var_l2: 0.6014528274536133
future_var_pred_norm: 0.6014528274536133
future_var_target_norm: 0.0
corr_future_var_similarity_with_sample_gain: nan
corr_future_var_similarity_with_sample_gain_type: Spearman
future_teacher_sample_count: 36072
future_teacher_source: TRAIN only; earliest seq_len steps from forecast origin; stop-gradient shared encoder/decomposer; absent from inference
h_prediction_MSE: 0.7272180914878845
h_prediction_MAE: 0.5057006478309631
h_prediction_drift_from_pretrained: 0.0661584734916687
h_prediction_corr_with_pretrained: 0.9461656764073187
H_norm: 0.4807989299297333
H_norm_ratio_to_pretrained: 0.5860006809234619
experiment: A0
backbone: patchtst
cyclenet_cycle_len: 144
dataset_archive_sha256: 3730ee9f111b7761c465d373cfe004756c365b28245c1c7942a590bd54a2bf7c
identity: {'feature': 0.0}
environment_updates: []
training_gate_history: [{'loss': 0.7076287098443693, 'var_predictive_loss': nan, 'var_utility_loss': nan, 'var_gain_loss': nan, 'var_conditional_gain_loss': nan, 'conditional_pair_MSE': nan, 'conditional_shuffle_MSE': nan, 'conditional_gain_mean': nan, 'conditional_positive_ratio': nan, 'h_anchor_loss': nan, 'future_var_loss': nan, 'future_var_cosine': nan, 'future_var_l2': nan, 'future_var_pred_norm': nan, 'future_var_target_norm': nan, 'gate/mean': nan, 'gate/std': nan, 'gate/positive_ratio': nan, 'gate/negative_ratio': nan, 'gate/abs_mean': nan, 'gate/near_zero_ratio': nan, 'stage': 0, 'epoch': 1}, {'loss': 0.7014122095975008, 'var_predictive_loss': nan, 'var_utility_loss': nan, 'var_gain_loss': nan, 'var_conditional_gain_loss': nan, 'conditional_pair_MSE': nan, 'conditional_shuffle_MSE': nan, 'conditional_gain_mean': nan, 'conditional_positive_ratio': nan, 'h_anchor_loss': nan, 'future_var_loss': nan, 'future_var_cosine': nan, 'future_var_l2': nan, 'future_var_pred_norm': nan, 'future_var_target_norm': nan, 'gate/mean': nan, 'gate/std': nan, 'gate/positive_ratio': nan, 'gate/negative_ratio': nan, 'gate/abs_mean': nan, 'gate/near_zero_ratio': nan, 'stage': 0, 'epoch': 2}, {'loss': 0.6975414587230218, 'var_predictive_loss': nan, 'var_utility_loss': nan, 'var_gain_loss': nan, 'var_conditional_gain_loss': nan, 'conditional_pair_MSE': nan, 'conditional_shuffle_MSE': nan, 'conditional_gain_mean': nan, 'conditional_positive_ratio': nan, 'h_anchor_loss': nan, 'future_var_loss': nan, 'future_var_cosine': nan, 'future_var_l2': nan, 'future_var_pred_norm': nan, 'future_var_target_norm': nan, 'gate/mean': nan, 'gate/std': nan, 'gate/positive_ratio': nan, 'gate/negative_ratio': nan, 'gate/abs_mean': nan, 'gate/near_zero_ratio': nan, 'stage': 1, 'epoch': 3}, {'loss': 0.6979559704231846, 'var_predictive_loss': nan, 'var_utility_loss': nan, 'var_gain_loss': nan, 'var_conditional_gain_loss': nan, 'conditional_pair_MSE': nan, 'conditional_shuffle_MSE': nan, 'conditional_gain_mean': nan, 'conditional_positive_ratio': nan, 'h_anchor_loss': nan, 'future_var_loss': nan, 'future_var_cosine': nan, 'future_var_l2': nan, 'future_var_pred_norm': nan, 'future_var_target_norm': nan, 'gate/mean': nan, 'gate/std': nan, 'gate/positive_ratio': nan, 'gate/negative_ratio': nan, 'gate/abs_mean': nan, 'gate/near_zero_ratio': nan, 'stage': 1, 'epoch': 4}, {'loss': 0.6929079847034488, 'var_predictive_loss': nan, 'var_utility_loss': nan, 'var_gain_loss': nan, 'var_conditional_gain_loss': nan, 'conditional_pair_MSE': nan, 'conditional_shuffle_MSE': nan, 'conditional_gain_mean': nan, 'conditional_positive_ratio': nan, 'h_anchor_loss': nan, 'future_var_loss': nan, 'future_var_cosine': nan, 'future_var_l2': nan, 'future_var_pred_norm': nan, 'future_var_target_norm': nan, 'gate/mean': nan, 'gate/std': nan, 'gate/positive_ratio': nan, 'gate/negative_ratio': nan, 'gate/abs_mean': nan, 'gate/near_zero_ratio': nan, 'stage': 2, 'epoch': 5}, {'loss': 0.6905717452323094, 'var_predictive_loss': nan, 'var_utility_loss': nan, 'var_gain_loss': nan, 'var_conditional_gain_loss': nan, 'conditional_pair_MSE': nan, 'conditional_shuffle_MSE': nan, 'conditional_gain_mean': nan, 'conditional_positive_ratio': nan, 'h_anchor_loss': nan, 'future_var_loss': nan, 'future_var_cosine': nan, 'future_var_l2': nan, 'future_var_pred_norm': nan, 'future_var_target_norm': nan, 'gate/mean': nan, 'gate/std': nan, 'gate/positive_ratio': nan, 'gate/negative_ratio': nan, 'gate/abs_mean': nan, 'gate/near_zero_ratio': nan, 'stage': 2, 'epoch': 6}, {'loss': 0.6878922641012991, 'var_predictive_loss': nan, 'var_utility_loss': nan, 'var_gain_loss': nan, 'var_conditional_gain_loss': nan, 'conditional_pair_MSE': nan, 'conditional_shuffle_MSE': nan, 'conditional_gain_mean': nan, 'conditional_positive_ratio': nan, 'h_anchor_loss': nan, 'future_var_loss': nan, 'future_var_cosine': nan, 'future_var_l2': nan, 'future_var_pred_norm': nan, 'future_var_target_norm': nan, 'gate/mean': nan, 'gate/std': nan, 'gate/positive_ratio': nan, 'gate/negative_ratio': nan, 'gate/abs_mean': nan, 'gate/near_zero_ratio': nan, 'stage': 3, 'epoch': 7}, {'loss': 0.6859124121406919, 'var_predictive_loss': nan, 'var_utility_loss': nan, 'var_gain_loss': nan, 'var_conditional_gain_loss': nan, 'conditional_pair_MSE': nan, 'conditional_shuffle_MSE': nan, 'conditional_gain_mean': nan, 'conditional_positive_ratio': nan, 'h_anchor_loss': nan, 'future_var_loss': nan, 'future_var_cosine': nan, 'future_var_l2': nan, 'future_var_pred_norm': nan, 'future_var_target_norm': nan, 'gate/mean': nan, 'gate/std': nan, 'gate/positive_ratio': nan, 'gate/negative_ratio': nan, 'gate/abs_mean': nan, 'gate/near_zero_ratio': nan, 'stage': 3, 'epoch': 8}, {'loss': 0.6836706493223321, 'var_predictive_loss': nan, 'var_utility_loss': nan, 'var_gain_loss': nan, 'var_conditional_gain_loss': nan, 'conditional_pair_MSE': nan, 'conditional_shuffle_MSE': nan, 'conditional_gain_mean': nan, 'conditional_positive_ratio': nan, 'h_anchor_loss': nan, 'future_var_loss': nan, 'future_var_cosine': nan, 'future_var_l2': nan, 'future_var_pred_norm': nan, 'future_var_target_norm': nan, 'gate/mean': nan, 'gate/std': nan, 'gate/positive_ratio': nan, 'gate/negative_ratio': nan, 'gate/abs_mean': nan, 'gate/near_zero_ratio': nan, 'stage': 4, 'epoch': 9}, {'loss': 0.6823069452842958, 'var_predictive_loss': nan, 'var_utility_loss': nan, 'var_gain_loss': nan, 'var_conditional_gain_loss': nan, 'conditional_pair_MSE': nan, 'conditional_shuffle_MSE': nan, 'conditional_gain_mean': nan, 'conditional_positive_ratio': nan, 'h_anchor_loss': nan, 'future_var_loss': nan, 'future_var_cosine': nan, 'future_var_l2': nan, 'future_var_pred_norm': nan, 'future_var_target_norm': nan, 'gate/mean': nan, 'gate/std': nan, 'gate/positive_ratio': nan, 'gate/negative_ratio': nan, 'gate/abs_mean': nan, 'gate/near_zero_ratio': nan, 'stage': 4, 'epoch': 10}]
gradient_disagreement: nan
environment_source: TRAIN X,Y only; validation/test excluded
environment_prediction_source: current Z-fused prediction (legacy)
z_specific_encoder_gradient_isolated: False
stage_epochs: 2
optimization_epochs: 10
lambda_h_anchor: 0.0
h_forecast_head_frozen: True
reference_checkpoint: results/predictive_env_patchtst_multihorizon_96/pred_720/Weather/shared_reference.pt
reference_checkpoint_sha256: 7268972f824b351982a755e7192da215d738389209a5fb92834612fa08c97436
reference_source: loaded
seed: 2021
train_shuffle_seed: 2021
train_shuffle_rng: experiment-local torch.Generator
dataset_name: Weather
data_class: custom
data_path: weather.csv
target: OT
frequency: 10min
D_within_grad: nan
D_between_grad: nan
gradient_separation: nan
gradient_separation_gain: nan
conflict_ours: nan
random_partition_z_score: nan
random_partition_p_value: nan
random_partition_conflict_mean: nan
random_partition_conflict_std: nan
min_environment_mass: nan
alignment_overlap_before: nan
alignment_overlap_after: nan
normalized_assignment_entropy: nan
max_q_mean: nan
max_q_p10: nan
max_q_p50: nan
max_q_p90: nan
stage_ARI_to_previous: nan
stage_NMI_to_previous: nan
env_assignment_similarity_to_previous: nan
final_environment_similarity_correlation: nan
hungarian_permutation: []
env_acc_gap_var_minus_inv: nan
corr_inv_env: nan
corr_var_env: nan
